date,googl,aapl
31-12-2021,2897.04,177.57
30-12-2021,2924.01,178.2
29-12-2021,2933.1,179.38
28-12-2021,2933.74,179.29
27-12-2021,2958.13,180.33
23-12-2021,2938.33,176.28
22-12-2021,2928.3,175.64
21-12-2021,2869.45,172.99
20-12-2021,2832.14,169.75
17-12-2021,2834.5,171.14
16-12-2021,2888.9,172.26
15-12-2021,2928.82,179.3
14-12-2021,2878.14,174.33
13-12-2021,2916.53,175.74
10-12-2021,2960.03,179.45
09-12-2021,2952.77,174.56
08-12-2021,2963.73,175.08
07-12-2021,2945.39,171.18
06-12-2021,2863,165.32
03-12-2021,2840.03,161.84
02-12-2021,2859.32,163.76
01-12-2021,2821.03,164.77
30-11-2021,2837.95,165.3
29-11-2021,2910.61,160.24
26-11-2021,2843.66,156.81
24-11-2021,2922.4,161.94
23-11-2021,2915.64,161.41
22-11-2021,2926.04,161.02
19-11-2021,2978.53,160.55
18-11-2021,2996.77,157.87
17-11-2021,2960.94,153.49
16-11-2021,2957.52,151
15-11-2021,2969.04,150
12-11-2021,2973.56,149.99
11-11-2021,2915.33,147.87
10-11-2021,2917.87,147.92
09-11-2021,2978.37,150.81
08-11-2021,2980.62,150.44
05-11-2021,2977.04,151.28
04-11-2021,2965.35,150.96
03-11-2021,2931.96,151.49
02-11-2021,2908.65,150.02
01-11-2021,2869.94,148.96
29-10-2021,2960.92,149.8
28-10-2021,2916.98,152.57
27-10-2021,2924.35,148.85
26-10-2021,2786.17,149.32
25-10-2021,2748.94,148.64
22-10-2021,2751.33,148.69
21-10-2021,2837.72,149.48
20-10-2021,2835.38,149.26
19-10-2021,2864.74,148.76
18-10-2021,2855.56,146.55
15-10-2021,2827.36,144.84
14-10-2021,2823.02,143.76
13-10-2021,2751.64,140.91
12-10-2021,2728.98,141.51
11-10-2021,2778.28,142.81
08-10-2021,2795.71,142.9
07-10-2021,2784.5,143.29
06-10-2021,2751.3,142
05-10-2021,2720.46,141.11
04-10-2021,2673.19,139.14
01-10-2021,2730.86,142.65
30-09-2021,2673.52,141.5
29-09-2021,2687.07,142.83
28-09-2021,2716.6,141.91
27-09-2021,2821.44,145.37
24-09-2021,2844.3,146.92
23-09-2021,2824.32,146.83
22-09-2021,2805.67,145.85
21-09-2021,2780.66,143.43
20-09-2021,2774.39,142.94
17-09-2021,2816,146.06
16-09-2021,2872.2,148.79
15-09-2021,2888.59,149.03
14-09-2021,2850.89,148.12
13-09-2021,2846.65,149.55
10-09-2021,2817.52,148.97
09-09-2021,2870.82,154.07
08-09-2021,2873.82,155.11
07-09-2021,2885.61,156.69
03-09-2021,2874.79,154.3
02-09-2021,2865.74,153.65
01-09-2021,2904.31,152.51
31-08-2021,2893.95,151.83
30-08-2021,2891.81,153.12
27-08-2021,2880.08,148.6
26-08-2021,2828.81,147.54
25-08-2021,2841.58,148.36
24-08-2021,2825.23,149.62
23-08-2021,2800.83,149.71
20-08-2021,2748.59,148.19
19-08-2021,2713.6,146.7
18-08-2021,2708.98,146.36
17-08-2021,2733.23,150.19
16-08-2021,2766.19,151.12
13-08-2021,2754.55,149.1
12-08-2021,2743.88,148.89
11-08-2021,2725.58,145.86
10-08-2021,2736.14,145.6
09-08-2021,2738.26,146.09
06-08-2021,2714.77,146.14
05-08-2021,2725.03,147.06
04-08-2021,2702.51,146.95
03-08-2021,2712.6,147.36
02-08-2021,2697.09,145.52
30-07-2021,2694.53,145.86
29-07-2021,2715.55,145.64
28-07-2021,2721.88,144.98
27-07-2021,2638,146.77
26-07-2021,2680.7,148.99
23-07-2021,2660.3,148.56
22-07-2021,2568.43,146.8
21-07-2021,2550.98,145.4
20-07-2021,2524.19,146.15
19-07-2021,2491.56,142.45
16-07-2021,2539.4,146.39
15-07-2021,2540.1,148.48
14-07-2021,2564.74,149.15
13-07-2021,2546.83,145.64
12-07-2021,2539.51,144.5
09-07-2021,2510.37,145.11
08-07-2021,2500.88,143.24
07-07-2021,2529.48,144.57
06-07-2021,2523.8,142.02
02-07-2021,2505.15,139.96
01-07-2021,2448.89,137.27
30-06-2021,2441.79,136.96
29-06-2021,2445.45,136.33
28-06-2021,2450.72,134.78
25-06-2021,2450.17,133.11
24-06-2021,2450,133.41
23-06-2021,2442.54,133.7
22-06-2021,2446.61,133.98
21-06-2021,2436.25,132.3
18-06-2021,2402.22,130.46
17-06-2021,2434.87,131.79
16-06-2021,2415.45,130.15
15-06-2021,2428.39,129.64
14-06-2021,2448.91,130.48
11-06-2021,2430.2,127.35
10-06-2021,2435.13,126.11
09-06-2021,2407.94,127.13
08-06-2021,2398.44,126.74
07-06-2021,2402.3,125.9
04-06-2021,2393.57,125.89
03-06-2021,2347.58,123.54
02-06-2021,2370.59,125.06
01-06-2021,2381.18,124.28
28-05-2021,2356.85,124.61
27-05-2021,2362.68,125.28
26-05-2021,2380.31,126.85
25-05-2021,2362.87,126.9
24-05-2021,2361.04,127.1
21-05-2021,2294.13,125.43
20-05-2021,2306.95,127.31
19-05-2021,2271.5,124.69
18-05-2021,2262.47,124.85
17-05-2021,2288.92,126.27
14-05-2021,2278.38,127.45
13-05-2021,2229.04,124.97
12-05-2021,2200.25,122.77
11-05-2021,2270.06,125.91
10-05-2021,2291.75,126.85
07-05-2021,2351.93,130.21
